534 16
8404 68
654 8
542 15
8178 119
51093 664
5661 109
302478 4626
3006 40
2537 25
58554 546
32580 373
4456 67
24939 488
65454 567
1694 30
2481 42
5123 62
39108 378
830 19
812 10
2860 57
679 8
1696 39
737 9
667 16
202691 1874
4537 71
76071 820
55849 681
269 3
18056 238
3642 101
14273 168
23003 257
6550 115
134679 2010
5724 177
31844 406
14539 285
39843 704
269091 3246
23106 213
85274 911
9797 166
9629 108
12822 226
16024 216
21638 275
4360 78
6833 136
125815 2029
7640 109
35250 477
3949 53
9455 132
12561 193
3213 37
14092 218
1717 29
2300 72
4376 55
1585 21
1528 28
2622 30
10919 175
7018 65
720 13
28030 387
18249 251
28272 240
8224 186
13438 136
5833 132
5890 70
13171 175
42781 690
14416 240
5740 105
5436 63
49586 535
42247 700
4153 77
39295 460
31859 693
34524 327
17039 193
16216 188
2796 63
3934 88
12329 174
19620 305
3125 75
5307 76
5224 76
11725 172
21706 373
13228 144
7184 103
11293 215
2663 58
14917 245
6696 162
32312 405
15773 178
1772 27
5962 107
21110 297
6581 90
19636 350
236088 1848
4582 75
7795 113
2318 20
1953 79
241314 3087
20295 270
15841 226
14284 203
202658 30
6912 137
4351 57
5885 73
4506 56
47794 627
7921 63
268646 2248
143891 1967
7135 144
16286 207
22059 298
11557 213
8313 122
28064 419
4646 82
174077 2340
3957 0
438519 4842
39845 455
172434 2145
24807 387
122361 1288
3553 92
11205 138
7019 163
10107 162
6114 61
9481 118
17180 191
14772 198
257547 3287
2648 43
4384 0
182647 2567
9550 141
35610 484
49849 791
6180 64
10918 188
24952 367
10965 175
21807 377
8096 109
11196 183
10265 180
8578 123
41076 644
3067 65
6191 86
7264 114
24639 251
5634 112
3913 68
11515 126
84967 968
6410 86
2664 32
61036 464
4001 94
2348 30
6200 79
8878 132
230114 2450
246817 2388
1 162
70909 696
4939 83
3965 79
64431 464
50308 680
7241 126
19887 310
58707 624
9588 116
38829 411
20444 309
6134 111
160281 1602
3196 47
9470 115
28268 477
16999 230
4172 69
11813 189
18901 227
10452 160
39987 479
11122 142
7356 106
14832 175
12765 137
150049 1975
173005 2844
120236 1281
21813 392
35176 454
10478 173
2382 30
24941 262
7192 103
23546 365
7616 146
8289 102
11472 93
35167 383
1809 52
52280 372
944 15
5788 73
8117 82
18 0
13031 126
7072 48
3265 69
3442 80
20097 288
9608 144
4183 63
18436 277
63942 640
3963 51
38007 396
14659 178
2755 41
7887 98
6983 45
8208 57
1314 25
30348 311
13575 217
10274 122
7356 71
66810 507
18454 203
28629 339
8704 134
2814 60
2205 39
5659 89
29821 323
11836 172
7269 82
39169 531
6565 71
6408 89
5599 75
3376 51
4866 77
9713 93
14587 203
5566 67
7000 66
3839 62
3083 26
5691 85
3344 89
5044 49
16336 276
12803 181
3596 75
3169 37
2708 44
4868 54
4057 81
13909 173
5155 59
11821 203
19226 247
1243 0
8865 144
39104 455
1338 14
45330 679
26965 160
91748 948
1829 35
1852 29
19742 271
26199 334
117478 987
12325 140
4802 71
11335 166
4754 78
15394 288
15901 199
28002 439
13347 192
7381 80
2278 27
17343 160
14515 120
8106 129
31111 330
5179 74
36763 450
299438 3686
7354 99
3773 71
2707 57
9103 107
2583 59
60552 821
42946 614
8037 98
7962 50
4977 89
4193 70
65145 871
114653 1201
13072 188
8578 146
2969 50
65766 813
22116 266
4750 48
6836 106
7024 84
38679 249
1648 29
3944 65
2054 28
3066 50
2782 48
4008 92
3291 52
5084 71
47463 488
15597 163
5106 72
35323 414
79565 541
8227 174
142848 1479
3853 102
2271 50
15871 192
50114 553
6531 84
2336 37
5627 85
11749 157
24051 274
7566 101
3091 44
2168 51
4342 54
5566 75
10492 125
4443 63
6894 89
8899 195
45144 183
6484 84
2486 55
11889 180
4384 101
10311 165
9244 151
65101 668
2954 68
8382 179
9901 145
76410 449
51752 535
3374 40
145186 1434
2193 35
3170 56
3720 47
5816 95
9831 146
6533 91
4139 86
3151 63
1394 10
4613 58
11283 256
4477 74
13510 506
5734 102
68537 749
88991 1298
51511 550
8936 136
5030 117
11237 145
14456 219
11503 136
4012 47
6828 73
2847 51
2105 54
2204 52
2613 60
11290 141
3902 73
1579 23
45606 312
9114 148
19022 311
9555 60
3588 31
17204 236
4946 59
8371 106
5118 71
2622 34
649 11
15357 253
7182 85
1727 39
4196 81
3861 56
2424 42
7215 115
1949 31
55509 433
2505 0
5556 66
2769 50
5162 50
3582 48
26057 255
907 33
10417 156
89470 946
703566 6524
3265 36
116 2
4638 76
11912 148
148050 1232
28050 354
4692 66
7113 68
7567 105
1324 42
16988 187
22956 127
8441 101
9860 85
6720 73
880 23
22209 330
6561 51
2898 43
23998 456
118986 1040
77764 438
25242 369
16063 212
4406 44
49206 450
3187 59
9031 100
23399 105
4697 101
1540 25
3193 56
1 0
1703 28
2102 35
3140 40
23794 164
8974 123
2733 37
19324 174
1519 35
566 8
2188 57
15881 238
5654 70
13215 183
17104 186
10476 224
7003 54
13349 135
6771 36
11435 129
4512 94
3746 78
9492 119
2431 37
7531 91
3529 81
131084 2122
3562 78
1547 38
3361 61
7756 92
14557 157
6834 90
24038 316
1522 35
12141 187
3471 48
4528 58
8918 209
33410 358
2711 49
13159 141
6346 119
9179 284
4251 54
10285 130
2049 17
4060 73
3192 35
5145 66
8062 93
5158 62
2603 41
5076 45
1234 17
35658 310
3631 42
7720 124
5631 64
3165 51
10399 142
3109 67
8970 151
5781 95
9877 140
5239 60
3514 59
5572 80
2499 47
985 25
1121 21
2035 77
279674 1647
893 20
4611 68
27136 291
4845 82
15043 174
46709 583
4161 86
6099 77
22625 238
